slug,video_id,title,recorded_on,published_at,year,speakers,num_languages,url
adam_grant_how_to_stop_languishing_and_start_finding_flow,80686,איך להפסיק לדעוך ולהתחיל למצוא זרימה,2021-08-01,2021-09-07T14:59:52Z,2021,אדם גראנט,21,https://www.ted.com/talks/adam_grant_how_to_stop_languishing_and_start_finding_flow
molly_wright_how_every_child_can_thrive_by_five,79408,כיצד כל ילד יכול לשגשג עד גיל חמש,2021-07-21,2021-07-22T00:53:20Z,2021,מולי רייט,39,https://www.ted.com/talks/molly_wright_how_every_child_can_thrive_by_five
andrea_berchowitz_the_link_between_menopause_and_gender_inequity_at_work,79425,הקשר בין גיל המעבר ואי שוויון מגדרי בעבודה,2021-07-13,2021-07-13T15:05:59Z,2021,אנדראה ברקוביץ',23,https://www.ted.com/talks/andrea_berchowitz_the_link_between_menopause_and_gender_inequity_at_work
wendy_de_la_rosa_why_talking_to_your_friends_can_help_you_save_money,71237,למה לדבר עם החברים שלכם יכול לעזור לכם לחסוך כסף,2021-02-24,2021-02-24T15:24:00Z,2021,ונדי דה לה רוסה,33,https://www.ted.com/talks/wendy_de_la_rosa_why_talking_to_your_friends_can_help_you_save_money
elif_shafak_if_trees_could_speak,66869,אם עצים יכלו לדבר,2020-10-10,2020-10-10T16:41:19Z,2020,אליף שפק,33,https://www.ted.com/talks/elif_shafak_if_trees_could_speak
ariel_waldman_the_invisible_life_hidden_beneath_antarctica_s_ice,63749,The invisible life hidden beneath Antarctica's ice,2020-05-18,2020-07-14T15:12:41Z,2020,Ariel Waldman,37,https://www.ted.com/talks/ariel_waldman_the_invisible_life_hidden_beneath_antarctica_s_ice
dan_ariely_how_to_change_your_behavior_for_the_better,50957,איך לשפר את התנהגותנו,2019-06-06,2019-11-18T15:59:53Z,2019,דן אריאלי,29,https://www.ted.com/talks/dan_ariely_how_to_change_your_behavior_for_the_better
cady_coleman_what_it_s_like_to_live_on_the_international_space_station,52061,איך זה מרגיש לגור בתחנת החלל הבינלאומית?,2019-04-15,2019-11-13T16:30:33Z,2019,קאדי קולמן,35,https://www.ted.com/talks/cady_coleman_what_it_s_like_to_live_on_the_international_space_station
yeonmi_park_what_i_learned_about_freedom_after_escaping_north_korea,46598,מה למדתי על חופש אחרי שברחתי מצפון-קוריאה,2019-04-15,2019-08-30T14:55:50Z,2019,יאונמי פארק,32,https://www.ted.com/talks/yeonmi_park_what_i_learned_about_freedom_after_escaping_north_korea
katie_hood_the_difference_between_healthy_and_unhealthy_love,41353,ההבדל בין אהבה בריאה ולא בריאה,2019-04-15,2019-05-17T14:48:56Z,2019,קייטי הוד,34,https://www.ted.com/talks/katie_hood_the_difference_between_healthy_and_unhealthy_love
matt_beane_how_do_we_learn_to_work_with_intelligent_machines,32189,כיצד נלמד לעבוד עם מכונות חכמות?,2018-11-01,2019-02-04T15:56:32Z,2018,מאט בין,21,https://www.ted.com/talks/matt_beane_how_do_we_learn_to_work_with_intelligent_machines
lydia_machova_the_secrets_of_learning_a_new_language,29391,הסודות של לימוד שפה חדשה,2018-10-23,2019-01-04T15:45:49Z,2018,לידיה מקובה,44,https://www.ted.com/talks/lydia_machova_the_secrets_of_learning_a_new_language
amy_herman_a_lesson_on_looking,27846,שיעור בהתבוננות,2018-10-03,2018-12-06T15:40:55Z,2018,איימי הרמן,28,https://www.ted.com/talks/amy_herman_a_lesson_on_looking
yuval_noah_harari_why_fascism_is_so_tempting_and_how_your_data_could_power_it,16159,מדוע הפשיזם כה מפתה - ואיך הנתונים שלכם יכולים לחזק אותו,2018-04-10,2018-05-18T14:56:29Z,2018,יובל נוח הררי,31,https://www.ted.com/talks/yuval_noah_harari_why_fascism_is_so_tempting_and_how_your_data_could_power_it
rutger_bregman_poverty_isn_t_a_lack_of_character_it_s_a_lack_of_cash,2785,עוני אינו חוסר אופי; אלא מחסור בכסף,2017-04-24,2017-05-22T15:06:14Z,2017,רותגר ברגמן,35,https://www.ted.com/talks/rutger_bregman_poverty_isn_t_a_lack_of_character_it_s_a_lack_of_cash
robert_sapolsky_the_biology_of_our_best_and_worst_selves,2779,הביולוגיה של הצדדים הטובים ביותר והרעים ביותר שלנו,2017-04-24,2017-05-09T15:04:28Z,2017,רוברט ספולסקי,31,https://www.ted.com/talks/robert_sapolsky_the_biology_of_our_best_and_worst_selves
sangu_delle_there_s_no_shame_in_taking_care_of_your_mental_health,2739,אין בושה בדאגה לבריאות הנפש שלך,2017-02-11,2017-05-04T14:57:04Z,2017,סאנגו דלה,37,https://www.ted.com/talks/sangu_delle_there_s_no_shame_in_taking_care_of_your_mental_health
mona_chalabi_3_ways_to_spot_a_bad_statistic,2718,3 דרכים לזהות סטטיסטיקה גרועה,2017-02-15,2017-03-24T14:48:55Z,2017,מונה חלבי,25,https://www.ted.com/talks/mona_chalabi_3_ways_to_spot_a_bad_statistic
lux_narayan_what_i_learned_from_2_000_obituaries,2697,"מה למדתי מ 2000 הספדים
לוקס נראיאן",2017-01-26,2017-03-01T16:05:49Z,2017,לוקס נראיאן,35,https://www.ted.com/talks/lux_narayan_what_i_learned_from_2_000_obituaries
jeff_kirschner_this_app_makes_it_fun_to_pick_up_litter,2696,האפילקציה הזו הופכת איסוף אשפה לכיף,2016-12-13,2017-02-28T16:04:41Z,2016,ג'ף קירשנר,36,https://www.ted.com/talks/jeff_kirschner_this_app_makes_it_fun_to_pick_up_litter
sue_klebold_my_son_was_a_columbine_shooter_this_is_my_story,2681,הבן שלי היה אחד מהיורים בקולומביין. זה הסיפור שלי.,2016-11-30,2017-02-02T16:02:52Z,2016,סו קלבולד,32,https://www.ted.com/talks/sue_klebold_my_son_was_a_columbine_shooter_this_is_my_story
jennifer_brea_what_happens_when_you_have_a_disease_doctors_can_t_diagnose,2627,מה קורה כשיש לך מחלה שהרופאים לא מצליחים לאבחן,2016-06-27,2017-01-17T16:09:16Z,2016,ג'ן בראה,36,https://www.ted.com/talks/jennifer_brea_what_happens_when_you_have_a_disease_doctors_can_t_diagnose
adam_grant_are_you_a_giver_or_a_taker,2652,האם אתם נותנים או לוקחים?,2016-11-15,2017-01-03T15:37:47Z,2016,אדם גראנט,40,https://www.ted.com/talks/adam_grant_are_you_a_giver_or_a_taker
john_mcwhorter_4_reasons_to_learn_a_new_language,2595,4 סיבות ללמוד שפה חדשה,2016-02-16,2016-10-07T18:54:52Z,2016,ג'ון מקוורטר,46,https://www.ted.com/talks/john_mcwhorter_4_reasons_to_learn_a_new_language
monica_araya_a_small_country_with_big_ideas_to_get_rid_of_fossil_fuels,2562,מדינה קטנה עם רעיונות גדולים על איך להיפטר מדלקים מאובנים,2016-06-29,2016-08-15T15:08:11Z,2016,מוניקה אראיה,32,https://www.ted.com/talks/monica_araya_a_small_country_with_big_ideas_to_get_rid_of_fossil_fuels
tom_hulme_what_can_we_learn_from_shortcuts,2531,מה אנחנו יכולים ללמוד מקיצורי דרך?,2016-02-17,2016-06-24T14:46:05Z,2016,טום הולם,32,https://www.ted.com/talks/tom_hulme_what_can_we_learn_from_shortcuts
amit_sood_every_piece_of_art_you_ve_ever_wanted_to_see_up_close_and_searchable,2519,כל יצירת אמנות שאי פעם רציתם לראות - בהישג יד וניתנת לחיפוש,2016-02-17,2016-06-07T15:01:43Z,2016,עמית סוד,23,https://www.ted.com/talks/amit_sood_every_piece_of_art_you_ve_ever_wanted_to_see_up_close_and_searchable
zaria_forman_drawings_that_show_the_beauty_and_fragility_of_earth,2511,ציורים שמראים את היופי והשבריריות של כדור הארץ,2015-11-06,2016-05-25T15:00:38Z,2015,זריה פורמן,37,https://www.ted.com/talks/zaria_forman_drawings_that_show_the_beauty_and_fragility_of_earth
lidia_yuknavitch_the_beauty_of_being_a_misfit,2508,היופי בלהיות חריג,2016-02-18,2016-05-23T14:58:15Z,2016,לידיה יוקנביץ',34,https://www.ted.com/talks/lidia_yuknavitch_the_beauty_of_being_a_misfit
adam_grant_the_surprising_habits_of_original_thinkers,2474,ההרגלים המפתיעים של חושבים מקוריים,2016-02-16,2016-04-01T14:47:47Z,2016,אדם גרנט,40,https://www.ted.com/talks/adam_grant_the_surprising_habits_of_original_thinkers
latif_nasser_you_have_no_idea_where_camels_really_come_from,2455,אתם לא מתארים לעצמכם מאיפה גמלים מגיעים,2015-11-05,2016-03-23T14:56:13Z,2015,לאטיף נאסר,28,https://www.ted.com/talks/latif_nasser_you_have_no_idea_where_camels_really_come_from
tim_urban_inside_the_mind_of_a_master_procrastinator,2458,להיכנס אל תוך ראשו של דחיין מקצועי,2016-02-16,2016-03-15T18:36:59Z,2016,טים אורבן,49,https://www.ted.com/talks/tim_urban_inside_the_mind_of_a_master_procrastinator
al_gore_the_case_for_optimism_on_climate_change,2441,בזכות האופטימיות בסוגיית שינויי האקלים,2016-02-17,2016-02-22T16:16:33Z,2016,אל גור,27,https://www.ted.com/talks/al_gore_the_case_for_optimism_on_climate_change
allan_adams_what_the_discovery_of_gravitational_waves_means,2439,מהי משמעות תגלית גלי הכבידה?,2016-02-15,2016-02-18T16:49:37Z,2016,אלן אדמס,33,https://www.ted.com/talks/allan_adams_what_the_discovery_of_gravitational_waves_means
judson_brewer_a_simple_way_to_break_a_bad_habit,2420,דרך פשוטה לשבור הרגל רע,2015-11-18,2016-02-03T16:18:34Z,2015,ג'דסון ברואר,43,https://www.ted.com/talks/judson_brewer_a_simple_way_to_break_a_bad_habit
james_veitch_this_is_what_happens_when_you_reply_to_spam_email,2405,זה מה שקורה כשאתם עונים לדואר זבל,2015-12-08,2016-01-08T16:03:40Z,2015,ג'יימס וויץ',47,https://www.ted.com/talks/james_veitch_this_is_what_happens_when_you_reply_to_spam_email
danit_peleg_forget_shopping_soon_you_ll_download_your_new_clothes,2388,שכחו מקניות. בקרוב תוכלו להוריד את הבגדים שלכם,2015-11-14,2015-12-08T16:28:30Z,2015,דנית פלג,41,https://www.ted.com/talks/danit_peleg_forget_shopping_soon_you_ll_download_your_new_clothes
marina_abramovic_an_art_made_of_trust_vulnerability_and_connection,2381,"אמנות שעשויה מאמון, פגיעות, וקשר",2015-03-16,2015-11-30T17:17:43Z,2015,מרינה אברמוביץ',34,https://www.ted.com/talks/marina_abramovic_an_art_made_of_trust_vulnerability_and_connection
carl_safina_what_are_animals_thinking_and_feeling,2373,מה חושבים ומרגישים בעלי החיים?,2015-10-10,2015-11-19T15:34:39Z,2015,קארל ספינה,37,https://www.ted.com/talks/carl_safina_what_are_animals_thinking_and_feeling
anders_fjellberg_two_nameless_bodies_washed_up_on_the_beach_here_are_their_stories,2353,שתי גופות אלמוניות נסחפו אל החוף. זהו סיפורן.,2015-09-29,2015-10-15T15:00:00Z,2015,אנדרס פיילברג,29,https://www.ted.com/talks/anders_fjellberg_two_nameless_bodies_washed_up_on_the_beach_here_are_their_stories
michael_green_how_we_can_make_the_world_a_better_place_by_2030,2348,איך אנחנו יכולים לעשות את העולם מקום טוב יותר עד 2030,2015-09-29,2015-10-12T15:58:15Z,2015,מייקל גרין,33,https://www.ted.com/talks/michael_green_how_we_can_make_the_world_a_better_place_by_2030
sandrine_thuret_you_can_grow_new_brain_cells_here_s_how,2342,אתם יכולים להצמיח תאי עצב חדשים במוח. כך תעשו זאת,2015-06-30,2015-10-08T15:00:00Z,2015,סנדרין ת'ורה,39,https://www.ted.com/talks/sandrine_thuret_you_can_grow_new_brain_cells_here_s_how
samuel_cohen_alzheimer_s_is_not_normal_aging_and_we_can_cure_it,2340,אלצהיימר הוא לא הזדקנות נורמלית - ואנחנו יכולים לרפא אותו,2015-06-30,2015-09-28T16:50:39Z,2015,סמואל כהן,43,https://www.ted.com/talks/samuel_cohen_alzheimer_s_is_not_normal_aging_and_we_can_cure_it
bj_miller_what_really_matters_at_the_end_of_life,2325,"מה באמת חשוב בסוף החיים
",2015-03-20,2015-09-10T14:59:01Z,2015,"ב.ג'. מילר
",37,https://www.ted.com/talks/bj_miller_what_really_matters_at_the_end_of_life
manuel_lima_a_visual_history_of_human_knowledge,2296,ההיסטוריה הויזואלית על הידע האנושי.,2015-03-13,2015-08-18T15:34:34Z,2015,מנואל לימה,29,https://www.ted.com/talks/manuel_lima_a_visual_history_of_human_knowledge
benedetta_berti_the_surprising_way_groups_like_isis_stay_in_power,2309,"הדרך המפתיעה בה קבוצות כמו דע""ש נשארות בשלטון",2015-03-17,2015-08-10T14:57:21Z,2015,בנדטה ברטי,33,https://www.ted.com/talks/benedetta_berti_the_surprising_way_groups_like_isis_stay_in_power
yuval_noah_harari_what_explains_the_rise_of_humans,2307,מה מסביר את עליית האדם?,2015-06-12,2015-07-24T15:16:16Z,2015,יובל נח הררי,38,https://www.ted.com/talks/yuval_noah_harari_what_explains_the_rise_of_humans
marlene_zuk_what_we_learn_from_insects_sex_lives,2301,מה אנו יכולים ללמוד מחיי המין המופרעים של החרקים,2015-05-28,2015-07-17T15:00:41Z,2015,מרלן צוק,30,https://www.ted.com/talks/marlene_zuk_what_we_learn_from_insects_sex_lives
